match_id,country,surface,match_time,players,score,sets,odds
ITF Iowa City Men - 2018: Karlovskiy E. - Glasspool L.,usa,hard,2018-07-22 15:00:00,"['Karlovskiy E. ', ' Glasspool L.']",0:2,"['62:7', '61:7']","{'10Bet': ['1.48', '2.45'], '1xBet': ['1.49', '2.56'], 'bet-at-home': ['1.50', '2.30'], 'Betfair': ['1.57', '2.25'], 'Bethard': ['1.48', '2.45'], 'BetVictor': ['1.53', '2.40'], 'Betway': ['1.50', '2.50'], 'bwin': ['1.48', '2.35'], 'ComeOn': ['1.48', '2.45'], 'Interwetten': ['1.45', '2.35'], 'Jetbull': ['1.48', '2.35'], 'Marathonbet': ['1.53', '2.60'], 'Sportingbet': ['1.50', '2.35'], 'Titanbet': ['1.53', '2.38'], 'youwin': ['1.48', '2.30']}"
ITF Iowa City Men - 2018: Glasspool L. - Brown A.,usa,hard,2018-07-21 17:00:00,"['Glasspool L. ', ' Brown A.']",2:1,"['4:6', '6:4', '6:1']","{'10Bet': ['1.27', '3.30'], '1xBet': ['1.30', '3.46'], 'bet-at-home': ['1.28', '3.12'], 'Betfair': ['1.36', '2.88'], 'Bethard': ['1.27', '3.30'], 'Betsafe': ['1.35', '2.90'], 'Betsson': ['1.35', '2.90'], 'BetVictor': ['1.33', '3.10'], 'Betway': ['1.33', '3.00'], 'bwin': ['1.30', '3.00'], 'ComeOn': ['1.27', '3.30'], 'Interwetten': ['1.30', '3.05'], 'Jetbull': ['1.31', '3.00'], 'Marathonbet': ['1.33', '3.52'], 'NordicBet': ['1.35', '2.90'], 'Sportingbet': ['1.30', '3.10'], 'Titanbet': ['1.30', '3.25'], 'youwin': ['1.29', '3.05']}"
ITF Iowa City Men - 2018: Karlovskiy E. - Altamirano C.,usa,hard,2018-07-21 15:30:00,"['Karlovskiy E. ', ' Altamirano C.']",2:0,"['6:4', '6:4']","{'10Bet': ['1.61', '2.15'], '1xBet': ['1.68', '2.12'], 'bet-at-home': ['1.59', '2.13'], 'Betfair': ['1.57', '2.25'], 'Bethard': ['1.61', '2.15'], 'Betsafe': ['1.60', '2.20'], 'Betsson': ['1.60', '2.20'], 'BetVictor': ['1.62', '2.20'], 'Betway': ['1.62', '2.20'], 'bwin': ['1.62', '2.05'], 'ComeOn': ['1.61', '2.15'], 'Interwetten': ['1.55', '2.10'], 'Jetbull': ['1.63', '2.07'], 'Marathonbet': ['1.61', '2.41'], 'NordicBet': ['1.60', '2.20'], 'Sportingbet': ['1.60', '2.15'], 'Titanbet': ['1.62', '2.20'], 'youwin': ['1.57', '2.10']}"
ITF Iowa City Men - 2018: Karlovskiy E. - Boltz S.,usa,hard,2018-07-20 16:30:00,"['Karlovskiy E. ', ' Boltz S.']",2:1,"['3:6', '7:5', '6:3']","{'10Bet': ['1.27', '3.30'], '1xBet': ['1.30', '3.38'], 'bet-at-home': ['1.27', '3.23'], 'Betfair': ['1.22', '3.75'], 'Bethard': ['1.27', '3.30'], 'BetVictor': ['1.25', '3.75'], 'Betway': ['1.25', '3.60'], 'bwin': ['1.28', '3.10'], 'ComeOn': ['1.27', '3.30'], 'Interwetten': ['1.25', '3.15'], 'Jetbull': ['1.27', '3.30'], 'Marathonbet': ['1.27', '3.92'], 'Sportingbet': ['1.25', '3.25'], 'Titanbet': ['1.29', '3.40'], 'youwin': ['1.22', '3.20']}"
ITF Iowa City Men - 2018: Brown A. - Farquharson T.,usa,hard,2018-07-20 16:03:00,"['Brown A. ', ' Farquharson T.']",2:1,"['7:63', '4:6', '7:5']","{'10Bet': ['4.90', '1.13'], '1xBet': ['4.62', '1.17'], 'bet-at-home': ['4.48', '1.14'], 'Betfair': ['5.00', '1.14'], 'Bethard': ['4.90', '1.13'], 'BetVictor': ['5.00', '1.14'], 'bwin': ['4.25', '1.16'], 'ComeOn': ['4.90', '1.13'], 'Interwetten': ['4.35', '1.14'], 'Jetbull': ['4.33', '1.16'], 'Marathonbet': ['4.95', '1.19'], 'Sportingbet': ['4.50', '1.14'], 'Titanbet': ['4.75', '1.15'], 'youwin': ['4.50', '1.13']}"
ITF Iowa City Men - 2018: Altamirano C. - Al Allaf K.,usa,hard,2018-07-20 15:00:00,"['Altamirano C. ', ' Al Allaf K.']",2:0,"['6:4', '6:2']","{'10Bet': ['1.08', '6.05'], '1xBet': ['1.10', '6.60'], 'bet-at-home': ['1.07', '6.04'], 'Betfair': ['1.04', '9.50'], 'Bethard': ['1.08', '6.05'], 'BetVictor': ['1.06', '8.00'], 'Betway': ['1.05', '8.00'], 'bwin': ['1.05', '6.75'], 'ComeOn': ['1.08', '6.05'], 'Interwetten': ['1.07', '5.75'], 'Jetbull': ['1.06', '6.50'], 'Marathonbet': ['1.07', '9.70'], 'Sportingbet': ['1.07', '6.00'], 'Titanbet': ['1.08', '7.00'], 'youwin': ['1.05', '6.00']}"
ITF Iowa City Men - 2018: Glasspool L. - Chappell N.,usa,hard,2018-07-20 15:00:00,"['Glasspool L. ', ' Chappell N.']",2:0,"['6:4', '7:6']","{'10Bet': ['1.16', '4.40'], '1xBet': ['1.18', '4.44'], 'bet-at-home': ['1.16', '4.19'], 'Betfair': ['1.17', '4.50'], 'Bethard': ['1.16', '4.40'], 'BetVictor': ['1.17', '4.75'], 'Betway': ['1.17', '4.50'], 'bwin': ['1.19', '3.90'], 'ComeOn': ['1.16', '4.40'], 'Interwetten': ['1.16', '4.10'], 'Jetbull': ['1.18', '4.00'], 'Marathonbet': ['1.18', '5.20'], 'Sportingbet': ['1.16', '4.20'], 'Titanbet': ['1.17', '4.50'], 'youwin': ['1.14', '4.20']}"
ITF Iowa City Men - 2018: Altamirano C. - Saraiva B.,usa,hard,2018-07-19 18:00:00,"['Altamirano C. ', ' Saraiva B.']",2:0,"['6:3', '6:4']","{'10Bet': ['1.09', '5.75'], '1xBet': ['1.11', '6.15'], 'bet-at-home': ['1.10', '5.34'], 'Betfair': ['1.11', '6.00'], 'Bethard': ['1.09', '5.75'], 'BetVictor': ['1.10', '6.00'], 'Betway': ['1.10', '6.00'], 'bwin': ['1.11', '5.00'], 'ComeOn': ['1.09', '5.75'], 'Interwetten': ['1.09', '5.25'], 'Jetbull': ['1.11', '5.00'], 'Marathonbet': ['1.10', '7.50'], 'Sportingbet': ['1.10', '5.25'], 'Titanbet': ['1.13', '5.50'], 'youwin': ['1.08', '5.20']}"
ITF Iowa City Men - 2018: Brown A. - Perez A.,usa,hard,2018-07-19 18:00:00,"['Brown A. ', ' Perez A.']",2:0,"['7:5', '7:65']","{'10Bet': ['2.60', '1.43'], '1xBet': ['2.94', '1.37'], 'bet-at-home': ['2.56', '1.41'], 'Betfair': ['2.25', '1.57'], 'Bethard': ['2.60', '1.43'], 'Betway': ['2.75', '1.40'], 'bwin': ['2.20', '1.55'], 'ComeOn': ['2.60', '1.43'], 'Interwetten': ['2.50', '1.40'], 'Jetbull': ['2.38', '1.48'], 'Marathonbet': ['2.66', '1.49'], 'Sportingbet': ['2.55', '1.40'], 'Titanbet': ['2.75', '1.40'], 'youwin': ['2.50', '1.38']}"
ITF Iowa City Men - 2018: Chappell N. - Chrysochos P.,usa,hard,2018-07-19 16:30:00,"['Chappell N. ', ' Chrysochos P.']",2:1,"['6:4', '4:6', '6:3']","{'10Bet': ['5.75', '1.09'], '1xBet': ['6.15', '1.11'], 'bet-at-home': ['5.32', '1.10'], 'Betfair': ['5.50', '1.13'], 'Bethard': ['5.75', '1.09'], 'BetVictor': ['5.50', '1.12'], 'Betway': ['6.00', '1.10'], 'bwin': ['5.00', '1.11'], 'ComeOn': ['5.75', '1.09'], 'Interwetten': ['5.25', '1.09'], 'Jetbull': ['5.50', '1.11'], 'Marathonbet': ['6.80', '1.11'], 'Sportingbet': ['5.25', '1.10'], 'Titanbet': ['5.50', '1.13'], 'youwin': ['5.20', '1.08']}"
