tournament_id,year,doubles,prize_money,surface,sex
Kazan Challenger Men - 2016,2016,False,"$40,000",hard,men
Kazan Challenger Men - 2015,2015,False,"$40,000",hard,men
Kazan Challenger Men - 2014,2014,False,"$75,000",hard,men
Kazan Challenger Men - 2013,2013,False,"$50,000",hard,men
Kazan Challenger Men - 2012,2012,False,$0,hard,men
Kazan Challenger Men - 2011,2011,False,"$75,000",hard,men
Kazan Challenger Men - 2010,2010,False,"$50,000",hard,men
Khanty Mansiysk Challenger Men - 2009,2009,False,"$50,000",hard,men
Lermontov Challenger Men - 2012,2012,False,"$50,000",clay,men
Moscow Challenger Men - 2016,2016,False,"$75,000",clay,men
Moscow Challenger Men - 2015,2015,False,"$50,000",clay,men
Penza Challenger Men - 2012,2012,False,"$50,000",hard,men
Penza Challenger Men - 2011,2011,False,"$50,000",hard,men
Penza Challenger Men - 2010,2010,False,"$50,000",hard,men
Penza Challenger Men - 2009,2009,False,"$50,000",hard,men
Saransk Challenger Men - 2010,2010,False,3255,clay,men
Saransk Challenger Men - 2009,2009,False,"$50,000",clay,men
Tyumen Challenger Men - 2013,2013,False,"$35,000",hard,men
Tyumen Challenger Men - 2012,2012,False,"$35,000",hard,men
ITF Kigali 2 Men - 2012,2012,False,"$10,000",clay,men
ITF Kigali Men - 2012,2012,False,"$10,000",clay,men
Reunion Island Challenger Men - 2014,2014,False,"€35,000",hard,men
Sainte Clotilde Challenger Men - 2011,2011,False,"€30,000",hard,men
San Marino Challenger Men - 2014,2014,False,"€64,000",clay,men
San Marino Challenger Men - 2013,2013,False,"€64,000",clay,men
San Marino Challenger Men - 2012,2012,False,"€85,000",clay,men
San Marino Challenger Men - 2011,2011,False,"€85,000",clay,men
San Marino Challenger Men - 2010,2010,False,"€85,000",clay,men
San Marino Challenger Men - 2009,2009,False,"€85,000",clay,men
Exhibition King Salman Men - 2018,2018,False,$0,hard,men
ATP Belgrade - 2012,2012,False,"€418,700",clay,men
ATP Belgrade - 2011,2011,False,"€416,650",clay,men
ATP Belgrade - 2010,2010,False,"€424,950",clay,men
ATP Belgrade - 2009,2009,False,"€450,000",clay,men
Beograd Challenger Men - 2010,2010,False,"€106,500",hard,men
Beograd Challenger Men - 2009,2009,False,"€106,500",hard,men
ITF Belgrade 2 Men - 2012,2012,False,"$10,000",clay,men
ITF Belgrade 3 Men - 2013,2013,False,"$10,000",clay,men
ITF Belgrade Men - 2012,2012,False,"$10,000",clay,men
ITF Kikinda Men - 2012,2012,False,"$10,000",clay,men
ITF Novi Sad Men - 2012,2012,False,"$10,000",clay,men
Singapore Challenger Men - 2012,2012,False,"$50,000",hard,men
Singapore Challenger Men - 2011,2011,False,"$50,000",hard,men
Bratislava Challenger Men - 2019,2019,False,"€69,280",clay,men
Bratislava Challenger Men - 2018,2018,False,"€106,000",clay,men
Bratislava Challenger Men - 2017,2017,False,"€106,000",clay,men
Bratislava Challenger Men - 2016,2016,False,"€85,000",clay,men
Bratislava Challenger Men - 2015,2015,False,"€85,000",clay,men
Bratislava Challenger Men - 2014,2014,False,"€85,000",clay,men
Bratislava Challenger Men - 2013,2013,False,"€64,000",clay,men
Bratislava Challenger Men - 2012,2012,False,"€85,000",clay,men
Bratislava Challenger Men - 2011,2011,False,"€85,000",clay,men
Bratislava Challenger Men - 2010,2010,False,"€106,500",clay,men
Bratislava Challenger Men - 2009,2009,False,"€106,500",clay,men
ITF Piestany Men - 2012,2012,False,"$10,000",clay,men
ITF Tatranska Lomnica / Poprad Men - 2012,2012,False,"$10,000",clay,men
Kosice Challenger Men - 2014,2014,False,"€35,000",clay,men
Kosice Challenger Men - 2013,2013,False,"€30,000",clay,men
Kosice Challenger Men - 2012,2012,False,"€30,000",clay,men
Kosice Challenger Men - 2011,2011,False,"€30,000",clay,men
Kosice Challenger Men - 2010,2010,False,"€30,000",clay,men
Kosice Challenger Men - 2009,2009,False,"€30,000",clay,men
Poprad Challenger Men - 2018,2018,False,"€64,000",clay,men
Poprad Challenger Men - 2017,2017,False,"€64,000",clay,men
Poprad Challenger Men - 2016,2016,False,"€42,500",clay,men
Poprad Challenger Men - 2015,2015,False,"€42,500",clay,men
Trnava Challenger Men - 2016,2016,False,"€42,500",clay,men
Trnava Challenger Men - 2015,2015,False,"€42,500",clay,men
Trnava Challenger Men - 2014,2014,False,"€42,500",clay,men
Trnava Challenger Men - 2013,2013,False,"€42,500",clay,men
Trnava Challenger Men - 2012,2012,False,"€64,000",clay,men
Trnava Challenger Men - 2011,2011,False,"€64,000",clay,men
Trnava Challenger Men - 2010,2010,False,"€64,000",clay,men
Trnava Challenger Men - 2009,2009,False,"€64,000",clay,men
ITF Bled Men - 2013,2013,False,"$10,000",clay,men
ITF Bled Men - 2012,2012,False,"$10,000",clay,men
ITF Litija Men - 2013,2013,False,"$10,000",clay,men
ITF Maribor Men - 2013,2013,False,"$10,000",clay,men
ITF Maribor Men - 2012,2012,False,"$10,000",clay,men
Ljubljana Challenger Men - 2011,2011,False,"€42,500",clay,men
Ljubljana Challenger Men - 2010,2010,False,"€42,500",clay,men
Ljubljana Challenger Men - 2009,2009,False,"€42,500",clay,men
tournament_id,year,doubles,prize_money,surface,sex
Portoroz Challenger Men - 2018,2018,False,"€64,000",hard,men
Portoroz Challenger Men - 2017,2017,False,"€43,000",hard,men
Portoroz Challenger Men - 2016,2016,False,"€42,500",hard,men
Portoroz Challenger Men - 2015,2015,False,"€42,500",hard,men
Portoroz Challenger Men - 2014,2014,False,"€42,500",hard,men
Portoroz Challenger Men - 2013,2013,False,"€30,000",hard,men
