tournament_id,year,doubles,prize_money,surface,sex
ATP Halle - 2019,2019,False,"€2,081,830",grass,men
ATP Halle - 2018,2018,False,"€1,983,595",grass,men
ATP Halle - 2017,2017,False,"€1,836,660",grass,men
ATP Halle - 2016,2016,False,"€1,826,275",grass,men
ATP Halle - 2015,2015,False,"€1,696,645",grass,men
ATP Halle - 2014,2014,False,"€809,600",grass,men
ATP Halle - 2013,2013,False,"€779,665",grass,men
ATP Halle - 2012,2012,False,"€750,000",grass,men
ATP Halle - 2011,2011,False,"€750,000",grass,men
ATP Halle - 2010,2010,False,"€750,000",grass,men
ATP Halle - 2009,2009,False,"€750,000",grass,men
ATP Hamburg - 2018,2018,False,"€1,619,935",clay,men
ATP Hamburg - 2017,2017,False,"€1,499,940",clay,men
ATP Hamburg - 2016,2016,False,"€1,514,495",clay,men
ATP Hamburg - 2015,2015,False,"€1,407,960",clay,men
ATP Hamburg - 2014,2014,False,"€1,322,150",clay,men
ATP Hamburg - 2013,2013,False,"€1,230,500",clay,men
ATP Hamburg - 2012,2012,False,"€1,015,000",clay,men
ATP Hamburg - 2011,2011,False,"€1,115,000",clay,men
ATP Hamburg - 2010,2010,False,"€1,115,000",clay,men
ATP Hamburg - 2009,2009,False,"€1,115,000",clay,men
tournament_id,year,doubles,prize_money,surface,sex
ATP Munich - 2019,2019,False,"€524,340",clay,men
ATP Munich - 2018,2018,False,"€501,345",clay,men
ATP Munich - 2017,2017,False,"€482,060",clay,men
ATP Munich - 2016,2016,False,"€520,070",clay,men
ATP Munich - 2015,2015,False,"€494,310",clay,men
ATP Munich - 2014,2014,False,"€485,760",clay,men
ATP Munich - 2013,2013,False,"€467,800",clay,men
ATP Munich - 2012,2012,False,"€450,000",clay,men
ATP Munich - 2011,2011,False,"€450,000",clay,men
ATP Munich - 2010,2010,False,"€450,000",clay,men
ATP Munich - 2009,2009,False,"€450,000",clay,men
ATP Stuttgart - 2019,2019,False,"€679,015",grass,men
ATP Stuttgart - 2018,2018,False,"€656,015",grass,men
ATP Stuttgart - 2017,2017,False,"€630,785",grass,men
ATP Stuttgart - 2016,2016,False,"€675,645",grass,men
ATP Stuttgart - 2015,2015,False,"€642,070",grass,men
ATP Stuttgart - 2014,2014,False,"€485,760",grass,men
ATP Stuttgart - 2013,2013,False,"€467,800",grass,men
ATP Stuttgart - 2012,2012,False,"€410,175",grass,men
ATP Stuttgart - 2011,2011,False,"€450,000",grass,men
ATP Stuttgart - 2010,2010,False,"€450,000",grass,men
ATP Stuttgart - 2009,2009,False,"€450,000",grass,men
Aachen Challenger Men - 2010,2010,False,"€42,500",hard,men
Aachen Challenger Men - 2009,2009,False,"€42,500",hard,men
Braunschweig Challenger Men - 2019,2019,False,"€69,280",clay,men
Braunschweig Challenger Men - 2018,2018,False,"€127,000",clay,men
Braunschweig Challenger Men - 2017,2017,False,"€127,000",clay,men
Braunschweig Challenger Men - 2016,2016,False,"€106,500",clay,men
Braunschweig Challenger Men - 2015,2015,False,"€106,500",clay,men
Braunschweig Challenger Men - 2014,2014,False,"€106,500",clay,men
Braunschweig Challenger Men - 2013,2013,False,"€106,500",clay,men
Braunschweig Challenger Men - 2012,2012,False,"€106,500",clay,men
Braunschweig Challenger Men - 2011,2011,False,"€106,500",clay,men
Braunschweig Challenger Men - 2010,2010,False,"€106,500",clay,men
Braunschweig Challenger Men - 2009,2009,False,"$150,000",clay,men
Dortmund Challenger Men - 2011,2011,False,"€30,000",clay,men
tournament_id,year,doubles,prize_money,surface,sex
Eckental Challenger Men - 2018,2018,False,"€43,000",hard,men
Eckental Challenger Men - 2017,2017,False,"€43,000",hard,men
Eckental Challenger Men - 2016,2016,False,"€35,000",hard,men
Eckental Challenger Men - 2015,2015,False,"€35,000",hard,men
Eckental Challenger Men - 2014,2014,False,"€35,000",hard,men
Eckental Challenger Men - 2013,2013,False,"€30,000",hard,men
Eckental Challenger Men - 2012,2012,False,"€30,000",hard,men
Eckental Challenger Men - 2011,2011,False,"€30,000",hard,men
Eckental Challenger Men - 2010,2010,False,"€30,000",hard,men
Eckental Challenger Men - 2009,2009,False,"€30,000",hard,men
